Feature,Importance,Std
Lipids,0.5669852891739908,0.0115265636224349
Temperature,0.12905812688915438,0.002739997585355189
HHVResource,0.09979771297732529,0.003534782374508454
Proteins,0.0786024349265167,0.003056646920306523
FattyAcids,0.06217069748607408,0.002021927240956264
Ash,0.048869728237036156,0.0024378081113332175
TotalTime,0.036686071859998545,0.0014772743669116488
Polarity,0.02750113772009366,0.0012080439072752645
Guaiacol,0.024020634648456808,0.0014394004793211058
HoldingTime,0.022492411884860175,0.0007766093664911678
HemiCellulose,0.01623668660199932,0.0008668238806246042
AddQtty(g/L),0.014976597008052239,0.0004712711908044202
HeatingTime,0.014359324271159568,0.0011505864723963665
CarboHydrates,0.01417452169441672,0.0009694517974154627
Cellulose,0.013368500789258076,0.0006942599113173155
Details,0.011672997269733688,0.0004758160628384992
DryMatter,0.01137506091426469,0.0004928022108538257
Origin,0.010757833838485753,0.0004399185908636026
HeatingRate,0.007346094386210667,0.0004878580492545328
Resource,0.006180103526566038,0.000505620337165639
AminoAcids,0.006039308646511543,0.0007169316654294587
Sugar,0.005610190677748816,0.0006391674792068281
Lignin,0.005190610084979208,0.0006975286374746286
Method,0.0039422643233100515,0.0005444298726590407
Solvent,0.0026765638383448366,0.00036513267653401376
Additive,0.0026689531117431997,6.513514352767508e-05
CarboxylicAcids,0.0005094701964957982,7.244342004631296e-05
HeatingProfile,0.00010292578237546257,3.345141520271652e-05
Glycerol,0.0,0.0
