Resource,count,mean,std,min,max
MicroAlgae,915,31.211008516746332,14.678385586695796,0.0,83.80000000000001
Model,483,28.04939540970126,25.720718891184568,0.0,100.0
FW,233,27.725771081908114,18.349124437234288,2.0,78.0
Mixture,112,26.302909954370424,13.003518169541357,4.048582995951417,67.3
Sewage,97,25.3762654302096,10.734785685551484,7.6,67.93650793650794
MacroAlgae,30,22.973333333333336,11.539106919764073,3.0,41.7
FPW,66,22.189823208948734,7.726984068184029,3.122155503118679,34.16930348138441
Wood,293,21.016334398188263,12.27151329348235,0.32,61.833333333333336
Herb,55,19.70809339294585,7.525610663533252,3.0,33.64285714285714
